event.string(),value.string(),device.string(),time.string()
"Battery","0.117188","280040001347353236343033","2017-04-26T08:49:00.000Z"
"Battery","0.683594","280040001347353236343033","2017-04-26T08:50:00.000Z"
"Battery","1.382813","280040001347353236343033","2017-04-26T08:51:00.000Z"
"Battery","2.03125","280040001347353236343033","2017-04-26T08:52:00.000Z"
"Battery","2.769531","280040001347353236343033","2017-04-26T08:53:00.000Z"
"Battery","3.617188","280040001347353236343033","2017-04-26T08:54:00.000Z"
"Battery","4.46875","280040001347353236343033","2017-04-26T08:55:00.000Z"
"Battery","5.316406","280040001347353236343033","2017-04-26T08:56:00.000Z"
"Battery","6.242188","280040001347353236343033","2017-04-26T08:57:00.000Z"
"Battery","7.105469","280040001347353236343033","2017-04-26T08:58:00.000Z"
"Battery","7.964844","280040001347353236343033","2017-04-26T08:59:00.000Z"
"Battery","8.960938","280040001347353236343033","2017-04-26T09:00:00.000Z"
"Battery","9.738281","280040001347353236343033","2017-04-26T09:01:00.000Z"
"Battery","10.773438","280040001347353236343033","2017-04-26T09:02:00.000Z"
"Battery","11.550781","280040001347353236343033","2017-04-26T09:03:00.000Z"
"Battery","12.585938","280040001347353236343033","2017-04-26T09:04:00.000Z"
"Battery","13.363281","280040001347353236343033","2017-04-26T09:05:00.000Z"
"Battery","14.136719","280040001347353236343033","2017-04-26T09:06:00.000Z"
"Battery","15.171875","280040001347353236343033","2017-04-26T09:07:00.000Z"
"Battery","15.949219","280040001347353236343033","2017-04-26T09:08:00.000Z"
"Battery","16.726563","280040001347353236343033","2017-04-26T09:09:00.000Z"
"Battery","17.761719","280040001347353236343033","2017-04-26T09:10:00.000Z"
"Battery","18.539063","280040001347353236343033","2017-04-26T09:11:00.000Z"
"Battery","19.3125","280040001347353236343033","2017-04-26T09:12:00.000Z"
"Battery","20.089844","280040001347353236343033","2017-04-26T09:13:00.000Z"
"Battery","20.949219","280040001347353236343033","2017-04-26T09:14:00.000Z"
"Battery","21.808594","280040001347353236343033","2017-04-26T09:15:00.000Z"
"Battery","22.667969","280040001347353236343033","2017-04-26T09:16:00.000Z"
"Battery","23.527344","280040001347353236343033","2017-04-26T09:17:00.000Z"
"Battery","24.386719","280040001347353236343033","2017-04-26T09:18:00.000Z"
"Battery","25.246094","280040001347353236343033","2017-04-26T09:19:00.000Z"
"Battery","26.105469","280040001347353236343033","2017-04-26T09:20:00.000Z"
"Battery","26.964844","280040001347353236343033","2017-04-26T09:21:00.000Z"
"Battery","28.253906","280040001347353236343033","2017-04-26T09:22:00.000Z"
"Battery","29.113281","280040001347353236343033","2017-04-26T09:23:00.000Z"
"Battery","29.972656","280040001347353236343033","2017-04-26T09:24:00.000Z"
"Battery","30.832031","280040001347353236343033","2017-04-26T09:25:00.000Z"
"Battery","32.121094","280040001347353236343033","2017-04-26T09:26:00.000Z"
"Battery","32.980469","280040001347353236343033","2017-04-26T09:27:00.000Z"
"Battery","33.839844","280040001347353236343033","2017-04-26T09:28:00.000Z"
"Battery","35.058594","280040001347353236343033","2017-04-26T09:29:00.000Z"
"Battery","36.140625","280040001347353236343033","2017-04-26T09:30:00.000Z"
"Battery","37.222656","280040001347353236343033","2017-04-26T09:31:00.000Z"
"Battery","38.304688","280040001347353236343033","2017-04-26T09:32:00.000Z"
"Battery","39.382813","280040001347353236343033","2017-04-26T09:33:00.000Z"
"Battery","40.464844","280040001347353236343033","2017-04-26T09:34:00.000Z"
"Battery","41.59375","280040001347353236343033","2017-04-26T09:35:00.000Z"
"Battery","42.824219","280040001347353236343033","2017-04-26T09:36:00.000Z"
"Battery","44.050781","280040001347353236343033","2017-04-26T09:37:00.000Z"
"Battery","45.277344","280040001347353236343033","2017-04-26T09:38:00.000Z"
"Battery","46.503906","280040001347353236343033","2017-04-26T09:39:00.000Z"
"Battery","47.707031","280040001347353236343033","2017-04-26T09:40:00.000Z"
"Battery","49.242188","280040001347353236343033","2017-04-26T09:41:00.000Z"
"Battery","50.777344","280040001347353236343033","2017-04-26T09:42:00.000Z"
"Battery","52.3125","280040001347353236343033","2017-04-26T09:43:00.000Z"
"Battery","53.78125","280040001347353236343033","2017-04-26T09:44:00.000Z"
"Battery","55.363281","280040001347353236343033","2017-04-26T09:45:00.000Z"
"Battery","56.945313","280040001347353236343033","2017-04-26T09:46:00.000Z"
"Battery","58.527344","280040001347353236343033","2017-04-26T09:47:00.000Z"
"Battery","60.109375","280040001347353236343033","2017-04-26T09:48:00.000Z"
"Battery","61.808594","280040001347353236343033","2017-04-26T09:49:00.000Z"
"Battery","63.253906","280040001347353236343033","2017-04-26T09:50:00.000Z"
"Battery","64.699219","280040001347353236343033","2017-04-26T09:51:00.000Z"
"Battery","66","280040001347353236343033","2017-04-26T09:52:00.000Z"
"Battery","67.300781","280040001347353236343033","2017-04-26T09:53:00.000Z"
"Battery","68.640625","280040001347353236343033","2017-04-26T09:54:00.000Z"
"Battery","69.953125","280040001347353236343033","2017-04-26T09:55:00.000Z"
"Battery","71.101563","280040001347353236343033","2017-04-26T09:56:00.000Z"
"Battery","72.25","280040001347353236343033","2017-04-26T09:57:00.000Z"
"Battery","73.5625","280040001347353236343033","2017-04-26T09:58:00.000Z"
"Battery","74.546875","280040001347353236343033","2017-04-26T09:59:00.000Z"
"Battery","75.691406","280040001347353236343033","2017-04-26T10:00:00.000Z"
"Battery","76.671875","280040001347353236343033","2017-04-26T10:01:00.000Z"
"Battery","77.648438","280040001347353236343033","2017-04-26T10:02:00.000Z"
"Battery","78.628906","280040001347353236343033","2017-04-26T10:03:00.000Z"
"Battery","79.605469","280040001347353236343033","2017-04-26T10:04:00.000Z"
"Battery","80.585938","280040001347353236343033","2017-04-26T10:05:00.000Z"
"Battery","81.398438","280040001347353236343033","2017-04-26T10:06:00.000Z"
"Battery","82.214844","280040001347353236343033","2017-04-26T10:07:00.000Z"
"Battery","83.03125","280040001347353236343033","2017-04-26T10:08:00.000Z"
"Battery","83.847656","280040001347353236343033","2017-04-26T10:09:00.000Z"
"Battery","84.621094","280040001347353236343033","2017-04-26T10:10:00.000Z"
"Battery","85.339844","280040001347353236343033","2017-04-26T10:11:00.000Z"
"Battery","86.058594","280040001347353236343033","2017-04-26T10:12:00.000Z"
"Battery","86.632813","280040001347353236343033","2017-04-26T10:13:00.000Z"
"Battery","87.207031","280040001347353236343033","2017-04-26T10:14:00.000Z"
"Battery","87.78125","280040001347353236343033","2017-04-26T10:15:00.000Z"
"Battery","88.355469","280040001347353236343033","2017-04-26T10:16:00.000Z"
"Battery","88.800781","280040001347353236343033","2017-04-26T10:17:00.000Z"
"Battery","89.433594","280040001347353236343033","2017-04-26T10:18:00.000Z"
"Battery","89.75","280040001347353236343033","2017-04-26T10:19:00.000Z"
"Battery","90.222656","280040001347353236343033","2017-04-26T10:20:00.000Z"
"Battery","90.699219","280040001347353236343033","2017-04-26T10:21:00.000Z"
"Battery","91.171875","280040001347353236343033","2017-04-26T10:22:00.000Z"
"Battery","91.488281","280040001347353236343033","2017-04-26T10:23:00.000Z"
"Battery","91.804688","280040001347353236343033","2017-04-26T10:24:00.000Z"
